"Id","Name","Direction"
"473","c_welfare_exchange_money","server_to_client"
"474","s_usj_server_score","client_to_server"
"475","c_avatar_info","server_to_client"
"476","c_attached_card_enhance","server_to_client"
"477","s_scene_climbing","client_to_server"
"478","c_league_pvp_fight_data","server_to_client"
"479","c_group_back_channel","server_to_client"
"480","c_login_cdkey","server_to_client"
"481","c_secret_area_cycle","server_to_client"
"482","c_softball_throw","server_to_client"
"483","c_login_wait","server_to_client"
"484","s_userinfo_location_hide","client_to_server"
"485","s_title_getreward","client_to_server"
"486","s_league_pvp_fight_data","client_to_server"
"487","s_act_exercise_start","client_to_server"
"488","s_league_pvp_pk","client_to_server"
"489","s_peak_battle_fight_log","client_to_server"
"490","s_chat_frame_use","client_to_server"
"491","s_lantern_start","client_to_server"
"492","s_act_daily_stage_choose","client_to_server"
"493","c_group_team_info","server_to_client"
"494","s_interaction_use_mood","client_to_server"
"495","s_act_goods_buy","client_to_server"
"496","s_custom_gift_trigger","client_to_server"
"497","s_item_select_reward","client_to_server"
"498","s_peak_battle_support_info","client_to_server"
"499","c_userinfo_badge_set","server_to_client"
"500","c_offlinepvp_replace","server_to_client"
"501","c_world_task_auto_finish","server_to_client"
"502","c_usj_get_point_reward","server_to_client"
"503","c_reconnect_flag","server_to_client"
"504","s_group_team_list","client_to_server"
"505","s_growth_fund_info","client_to_server"
"506","c_card_show_oper","server_to_client"
"507","c_league_tech_event_finish","server_to_client"
"508","c_league_board_comment_oper","server_to_client"
"509","c_server_frame","server_to_client"
"510","c_herochip_stage_sync_data","server_to_client"
"511","c_group_wanfa_id","server_to_client"
"512","c_total_recharge_info","server_to_client"
"513","c_peak_battle_primary_ready_cd","server_to_client"
"514","c_world_task_info","server_to_client"
"515","s_welfare_sign","client_to_server"
"516","s_team_clear_apply","client_to_server"
"517","c_team_kick_leader","server_to_client"
"518","s_secret_area_history","client_to_server"
"519","c_act_exlottery_draw","server_to_client"
"520","c_relax_stage_sync_cond","server_to_client"
"521","s_league_board_list","client_to_server"
"522","s_pay_item","client_to_server"
"523","c_home_unlock","server_to_client"
"524","s_office_pick_active","client_to_server"
"525","s_act_team_accept","client_to_server"
"526","s_chat_private","client_to_server"
"527","c_task_info","server_to_client"
"528","c_comment_comment","server_to_client"
"529","s_card_lock","client_to_server"
"530","s_secret_area_active_key","client_to_server"
"531","s_business_extend_get_reward","client_to_server"
"532","c_offlinepvp_money","server_to_client"
"533","c_act_seven_day_buy","server_to_client"
"534","c_card_lock_skill","server_to_client"
"535","c_hero_class_info","server_to_client"
"536","c_userinfo_tag_set","server_to_client"
"537","s_campaign_task_accept","client_to_server"
"538","s_area_event_enter_stage","client_to_server"
"539","c_offlinepvp_wipe","server_to_client"
"540","c_equip_send_equip_hole_info","server_to_client"
"541","s_skill_get_spec_level_list","client_to_server"
"542","c_night_fight_reward","server_to_client"
"543","c_userinfo_info","server_to_client"
"544","c_group_team_friend_list","server_to_client"
"545","c_secret_area_times","server_to_client"
"546","c_recharge_info","server_to_client"
"547","s_role_change_name","client_to_server"
"548","s_hero_rank_info","client_to_server"
"549","c_friend_del","server_to_client"
"550","c_team_invite","server_to_client"
"551","c_all_server_cond_team_info","server_to_client"
"552","s_league_pvp_resource_occupy","client_to_server"
"553","c_league_tech_buff_update","server_to_client"
"554","c_group_npc_info","server_to_client"
"555","s_league_member_list","client_to_server"
"556","c_league_join_boss","server_to_client"
"557","c_offlinepvp_ready","server_to_client"
"558","s_recharge_reward_total_get","client_to_server"
"559","s_usj_get_stage_record","client_to_server"
"560","s_team_acc_invite","client_to_server"
"561","s_attached_card_book","client_to_server"
"562","s_home_checkin_update","client_to_server"
"563","c_rogue_inner_benefit_info","server_to_client"
"564","c_act_hero_bp_info","server_to_client"
"565","s_league_tech_shop_buy","client_to_server"
